,Liverpool,Man.City,Chelsea,Arsenal,Nottm.Forest,Brighton,Fulham,Newcastle,Aston.Villa,Tottenham,Brentford,Bournemouth,Man.United,West.Ham,Leicester.City,Everton,Ipswich.Town,Crystal.Palace,Wolves,Southampton
Liverpool,-,,2-1,,0-1,2-1,,,2-0,,2-0,3-0,,,,,,,,
Man.City,,-,,2-2,,,3-2,,,,2-1,,,,,,4-1,,,1-0
Chelsea,,0-2,-,1-1,1-1,4-2,,2-1,,,,,,,,,,1-1,,
Arsenal,2-2,,,-,,1-1,,,,,,,,,4-2,,,,2-0,3-1
Nottm.Forest,,,,,-,,0-1,1-3,,,,1-1,,3-0,,,,1-0,1-1,
Brighton,,2-1,,,2-2,-,,,,3-2,,,2-1,,,,0-0,,2-2,
Fulham,,,,,,,-,3-1,1-3,,2-1,,,1-1,2-1,,,,,
Newcastle,,1-1,,1-0,,0-1,,-,,2-1,,,,,,,,,,1-0
Aston.Villa,,,,0-2,,,,,-,,,1-1,0-0,,,3-2,,,3-1,
Tottenham,,,,0-1,,,,,4-1,-,3-1,,,4-1,,4-0,1-2,,,
Brentford,,,,,,,,,,,-,3-2,,1-1,,,4-3,2-1,5-3,3-1
Bournemouth,,2-1,0-1,2-0,,,,1-1,,,,-,,,,,,,,3-1
Man.United,0-3,,1-1,,,,1-0,,,0-3,2-1,,-,,3-0,,,,,
West.Ham,,1-3,0-3,,,,,,1-2,,,,2-1,-,,0-0,4-1,,,
Leicester.City,,,,,1-3,,,,1-2,1-1,,1-0,,,-,1-1,,,,
Everton,,,,,,0-3,1-1,0-0,,,,2-3,,,,-,,2-1,,
Ipswich.Town,0-2,,,,,,1-1,,2-2,,,,,,1-1,0-2,-,,,
Crystal.Palace,0-1,,,,,,0-2,,,1-0,,,0-0,0-2,2-2,,,-,,
Wolves,1-2,1-2,2-6,,,,,1-2,,,,,,,,,,2-2,-,2-0
Southampton,,,,,0-1,,,,,,,,0-3,,2-3,1-0,1-1,,,-